,Depth (m),"σ',v (kPa)",SBT (-),SBTn,ModSBTn,qc (MPa),fs (kPa),,
0,3.8,49,5,5.749233943,6.784192119,2.612,22.202,,
1,5.8,69,5,5.252749945,6.867805642,6.047,26.6068,,
2,7.2,81,6,6.003864734,6.983928571,7.123,41.3134,,
3,8.8,97,6,5.998611111,6.900074065,6.49,46.079,,
4,10.5,115,6,5.816219382,6.89937915,2.352,44.9232,,
5,11.8,128,4,3.366563225,3.067335102,2.777,55.54,,
6,13.2,142,4,3.352108333,2.11803293,2.563,45.8777,,
7,14.8,159,4,3.130544617,1.961115273,2.443,29.0717,,
8,16.2,172,5,4.404328501,5.049367166,7.462,116.4072,,
9,17.8,188,5,4.44974834,4.974203478,16.725,230.805,,
,,,,,,,,,
