,Depth (m),"σ',v (kPa)",SBT (-),SBTn,ModSBTn,qc (MPa),fs (kPa),
0,1.8,33,3,3.457013947,3.345619825,1.471,78.9927,
1,4.2,78,3,3.246067727,2.718628342,1.092,54.7092,
2,5.8,103,3,2.730116422,2,1.133,47.4727,
3,7.2,116,3,2.931657509,2.247133989,1.146,44.9232,
4,8.8,133,3,2.565246955,1.771960353,1.332,67.1328,
5,10.2,146,3,2.085847539,1.669544896,1.853,76.5289,
6,11.8,162,3,2.184907945,1.324731379,1.864,42.4992,
7,13.2,176,3,3,2.139048077,1.585,13.314,
8,14.8,192,4,3.00780543,1.092277526,2.492,77.0028,
9,16.2,206,4,3,1,2.025,20.4525,
,,,,,,,,
