,Depth (m),"σ',v (kPa)",SBT (-),SBTn,ModSBTn,qc (MPa),fs (kPa)
0,4.2,90,4,3.910527456,4.255308372,0.793,5.6303
1,5.8,115,4,3.976949405,4.779057167,5.438,27.19
2,7.2,130,6,5.838931965,7,8.029,53.7943
3,8.8,147,6,5.450830774,6.986370574,12.248,140.852
4,10.2,160,6,5,6.975,10.105,118.2285
5,11.8,175,5,4.954928419,6.054676892,3.136,51.744
6,13.2,189,5,4.67952433,5.846359563,2.534,66.3908
7,14.8,204,3,2.601320763,1.935444833,2.706,66.0264
8,16.2,218,3,2,1.03504633,3.887,66.079
9,17.8,234,4,3,1.297191155,16.968,324.0888
10,19.2,247,5,4.796250382,5.802051243,14.439,218.0289
