,Depth (m),"σ',v (kPa)",SBT (-),SBTn,ModSBTn,qc (MPa),fs (kPa)
0,1.2,19,4,5.077207761,6.20604541,1.53,61.353
1,2.8,34,4,4.90206977,6.420100266,3.311,7.6153
2,4.2,47,4,4.483421971,4.905708733,1.218,46.4058
3,5.8,61,4,4.046528714,4.74907436,1.711,40.8929
4,7.2,73,4,4.163549151,4.419900921,1.201,41.6747
5,8.8,87,3,2.998937423,2.053314975,0.939,23.0055
6,10.2,99,3,2.995348302,2.125948582,1.009,20.18
7,11.8,113,3,2.852335942,1.998636364,0.681,6.4014
8,13.2,128,3,3,1.111758337,8.363,27.5979
9,16.2,160,5,4.916888889,5.878194444,6.35,31.75
10,17.2,170,5,4.34153457,4.270177207,7.177,27.2726
